"Step","Default - ReDocRED - BASELINE - No Constraints - val_F1_micro","Default - ReDocRED - BASELINE - No Constraints - val_F1_micro__MIN","Default - ReDocRED - BASELINE - No Constraints - val_F1_micro__MAX","REBEL - ReDocRED - BASELINE - No Constraints - val_F1_micro","REBEL - ReDocRED - BASELINE - No Constraints - val_F1_micro__MIN","REBEL - ReDocRED - BASELINE - No Constraints - val_F1_micro__MAX"
"95","0","0","0","0","0","0"
"191","15.93699946609717","15.93699946609717","15.93699946609717","32.93565820332416","32.93565820332416","32.93565820332416"
"287","21.448212648945923","21.448212648945923","21.448212648945923","37.83578547698149","37.83578547698149","37.83578547698149"
"383","28.101959132083422","28.101959132083422","28.101959132083422","43.12778603268945","43.12778603268945","43.12778603268945"
"479","34.188034188034194","34.188034188034194","34.188034188034194","43.46627458187833","43.46627458187833","43.46627458187833"
"575","36.97337692666978","36.97337692666978","36.97337692666978","47.48578134874063","47.48578134874063","47.48578134874063"
"671","38.248120998422564","38.248120998422564","38.248120998422564","46.56858265557891","46.56858265557891","46.56858265557891"
"767","40.24074074074075","40.24074074074075","40.24074074074075","46.20637329286799","46.20637329286799","46.20637329286799"
"863","33.18325078793336","33.18325078793336","33.18325078793336","46.22376946136738","46.22376946136738","46.22376946136738"
"959","30.897250361794498","30.897250361794498","30.897250361794498","47.98489853704578","47.98489853704578","47.98489853704578"
"1055","40.85139621167741","40.85139621167741","40.85139621167741","49.020684605528096","49.020684605528096","49.020684605528096"
"1151","43.713031864148064","43.713031864148064","43.713031864148064","46.96762425900592","46.96762425900592","46.96762425900592"
"1247","44.78063540090772","44.78063540090772","44.78063540090772","49.1696750902527","49.1696750902527","49.1696750902527"
"1343","41.90241902419025","41.90241902419025","41.90241902419025","49.9084169210641","49.9084169210641","49.9084169210641"
"1439","43.291300009071946","43.291300009071946","43.291300009071946","51.54531168150864","51.54531168150864","51.54531168150864"
"1535","46.33232849182425","46.33232849182425","46.33232849182425","50.36072496920641","50.36072496920641","50.36072496920641"
"1631","45.7731579431515","45.7731579431515","45.7731579431515","51.25410828576371","51.25410828576371","51.25410828576371"
"1727","47.07824970186221","47.07824970186221","47.07824970186221","51.07410922267277","51.07410922267277","51.07410922267277"
"1823","46.6776798825257","46.6776798825257","46.6776798825257","51.52143845089903","51.52143845089903","51.52143845089903"
"1919","47.12654179990864","47.12654179990864","47.12654179990864","51.36980381989457","51.36980381989457","51.36980381989457"