"Step","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - dev_F1","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - dev_F1__MIN","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - dev_F1__MAX","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - dev_F1","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - dev_F1__MIN","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - dev_F1__MAX"
"15591","","","","54.81542365007326","54.81542365007326","54.81542365007326"
"15615","56.8648228603723","56.8648228603723","56.8648228603723","","",""
"31182","","","","54.719971186745894","54.719971186745894","54.719971186745894"
"31230","54.22935828592694","54.22935828592694","54.22935828592694","","",""
"46773","","","","58.216536703871704","58.216536703871704","58.216536703871704"
"46845","60.762655222147956","60.762655222147956","60.762655222147956","","",""
"62364","","","","61.118903410902135","61.118903410902135","61.118903410902135"
"62460","60.84325555733532","60.84325555733532","60.84325555733532","","",""
"77955","","","","62.28193847565014","62.28193847565014","62.28193847565014"
"78075","61.720007151796885","61.720007151796885","61.720007151796885","","",""
"93546","","","","63.205085312813644","63.205085312813644","63.205085312813644"
"93690","62.42019399629076","62.42019399629076","62.42019399629076","","",""
"109137","","","","63.22227587316915","63.22227587316915","63.22227587316915"
"109305","59.327739887317065","59.327739887317065","59.327739887317065","","",""
"124728","","","","63.56489543356608","63.56489543356608","63.56489543356608"
"124920","62.37700173644607","62.37700173644607","62.37700173644607","","",""
"140319","","","","64.27828304862906","64.27828304862906","64.27828304862906"
"140535","64.62421899215322","64.62421899215322","64.62421899215322","","",""
"155910","","","","67.14922233448726","67.14922233448726","67.14922233448726"
"156150","64.90950565277477","64.90950565277477","64.90950565277477","","",""
"171501","","","","66.7059073592649","66.7059073592649","66.7059073592649"
"171765","66.42143116360397","66.42143116360397","66.42143116360397","","",""
"187092","","","","65.23572249904178","65.23572249904178","65.23572249904178"
"187380","64.98494230704156","64.98494230704156","64.98494230704156","","",""
"202683","","","","66.28876180253913","66.28876180253913","66.28876180253913"
"202995","66.75214646259717","66.75214646259717","66.75214646259717","","",""
"218274","","","","66.70754765189841","66.70754765189841","66.70754765189841"
"218610","66.97878274728558","66.97878274728558","66.97878274728558","","",""
"233865","","","","66.9183593282881","66.9183593282881","66.9183593282881"
"234225","66.2636603970566","66.2636603970566","66.2636603970566","","",""
"249456","","","","67.10724356867291","67.10724356867291","67.10724356867291"
"249840","66.90393730947858","66.90393730947858","66.90393730947858","","",""
"265047","","","","68.08036468006078","68.08036468006078","68.08036468006078"
"265455","66.77985285795134","66.77985285795134","66.77985285795134","","",""
"280638","","","","67.79462035150719","67.79462035150719","67.79462035150719"
"281070","66.66777265337271","66.66777265337271","66.66777265337271","","",""
"296229","","","","68.39292486984105","68.39292486984105","68.39292486984105"
"296685","67.23477660859066","67.23477660859066","67.23477660859066","","",""
"311820","","","","67.85312084086954","67.85312084086954","67.85312084086954"
"312300","68.16814764183185","68.16814764183185","68.16814764183185","","",""
"327411","","","","68.64704571555906","68.64704571555906","68.64704571555906"
"327915","68.69662959048433","68.69662959048433","68.69662959048433","","",""
"343002","","","","69.52085928819153","69.52085928819153","69.52085928819153"
"343530","69.05521144631618","69.05521144631618","69.05521144631618","","",""
"358593","","","","69.20907840440165","69.20907840440165","69.20907840440165"
"359145","69.54460304040052","69.54460304040052","69.54460304040052","","",""
"374184","","","","69.93964874211704","69.93964874211704","69.93964874211704"
"374760","69.44336185715497","69.44336185715497","69.44336185715497","","",""
"389775","","","","70.13829376081733","70.13829376081733","70.13829376081733"
"390375","69.66417910447763","69.66417910447763","69.66417910447763","","",""
"405366","","","","70.18712714788315","70.18712714788315","70.18712714788315"
"405990","70.09018958218294","70.09018958218294","70.09018958218294","","",""
"420957","","","","70.29192706103929","70.29192706103929","70.29192706103929"
"421605","70.13605784555506","70.13605784555506","70.13605784555506","","",""
"436548","","","","70.38539553752537","70.38539553752537","70.38539553752537"
"437220","70.26754842391486","70.26754842391486","70.26754842391486","","",""
"452139","","","","70.90038704420452","70.90038704420452","70.90038704420452"
"452835","70.37648724257643","70.37648724257643","70.37648724257643","","",""
"467730","","","","70.834755306805","70.834755306805","70.834755306805"
"468450","70.49213460437228","70.49213460437228","70.49213460437228","","",""